itemId,name,reason,containerId,position,retrieval_steps
10,Food_Packet,Expired,TA02,"(0,0,0),(15.7,18.6,29.4)",[]
37,Antibiotic_Supply,Expired,L03,"(0,0,0),(14.3,13.2,39.5)",[]
182,Antibiotic_Supply,Expired,L04,"(58.1,0,0),(88.6,17.4,18.3)",[]
186,Food_Packet,Expired,TA01,"(30.8,132.2,0),(41.1,144.1,19.3)",[]
219,Antibiotic_Supply,Expired,L03,"(16.5,55.8,0),(63.0,79.4,30.7)",[]
245,Medical_Scanner,Expired,L04,"(118.4,0,0),(155.4,21.4,24.0)",[]
286,Food_Packet,Expired,CQ03,"(0,37.4,16.6),(28.7,57.4,31.2)",[]
287,Food_Packet,Expired,TA01,"(0,91.1,20.6),(19.6,107.3,49.4)",[]
349,Antibiotic_Supply,Expired,EA01,"(49.4,25.8,0),(64.7,41.5,21.1)",[]
350,Food_Packet,Expired,TA01,"(77.7,110.0,20.6),(97.0,124.1,34.7)",[]
359,Medical_Scanner,Expired,L04,"(26.7,18.5,0),(51.2,49.2,36.5)",[]
383,Medical_Scanner,Expired,L02,"(57.4,29.6,21.5),(98.9,59.7,43.8)",[]
389,Antibiotic_Supply,Expired,EA03,"(27.3,0,34.8),(42.3,24.9,62.8)",[]
393,Antibiotic_Supply,Expired,EA01,"(76.1,25.8,0),(106.7,58.4,15.0)",[]
505,Food_Packet,Expired,TA01,"(15.0,12.5,62.6),(36.5,37.4,89.6)",[]
518,Antibiotic_Supply,Expired,L02,"(0,27.1,43.8),(13.2,41.4,66.0)",[]
555,Medical_Scanner,Expired,EA03,"(0,30.7,34.8),(41.2,64.0,68.8)",[]
587,Medical_Scanner,Expired,EA02,"(62.9,0,111.7),(89.8,13.6,154.1)",[]
633,Antibiotic_Supply,Expired,L01,"(46.6,0,110.9),(71.5,31.2,157.5)",[]
634,Medical_Scanner,Expired,L04,"(0,42.0,0),(13.0,77.4,37.1)",[]
724,Antibiotic_Supply,Expired,L02,"(57.1,49.0,43.8),(82.2,86.7,57.9)",[]
736,Antibiotic_Supply,Expired,L02,"(0,0,57.9),(40.1,48.3,92.4)",[]
737,Antibiotic_Supply,Expired,L01,"(22.1,0,127.4),(65.4,10.3,150.6)",[]
748,Medical_Scanner,Expired,L03,"(51.1,10.2,75.8),(94.7,53.8,102.8)",[]
755,Food_Packet,Expired,CQ03,"(63.0,0,57.5),(86.3,16.5,76.9)",[]
787,Antibiotic_Supply,Expired,L04,"(117.6,42.0,0),(140.5,74.4,11.4)",[]
819,Medical_Scanner,Expired,L01,"(22.9,0,149.9),(69.8,30.2,197.4)",[]
868,Food_Packet,Expired,TA01,"(45.8,39.8,116.9),(63.4,66.3,136.8)",[]
922,Antibiotic_Supply,Expired,L01,"(21.2,0,197.4),(41.7,23.9,217.4)",[]
959,Antibiotic_Supply,Expired,EA03,"(0,0,50.7),(36.1,46.7,61.6)",[]
963,Food_Packet,Expired,TA01,"(11.3,81.4,153.7),(41.0,99.0,170.3)",[]
993,Medical_Scanner,Expired,EA01,"(25.6,36.8,15.0),(68.8,77.6,25.5)",[]
995,Medical_Scanner,Expired,EA03,"(36.1,0,50.7),(51.8,33.7,68.6)",[]
1031,Antibiotic_Supply,Expired,L04,"(130.6,0,21.3),(180.4,22.2,62.3)",[]
1046,Food_Packet,Expired,CQ01,"(0,0,386.7),(24.0,25.2,403.7)",[]
1068,Food_Packet,Expired,CQ01,"(0,0,512.8),(25.2,10.1,527.6)",[]
1124,Medical_Scanner,Expired,L03,"(22.9,14.2,146.7),(33.0,26.8,178.2)",[]
1132,Medical_Scanner,Expired,L02,"(47.9,43.0,57.9),(86.8,78.4,92.0)",[]
1134,Food_Packet,Expired,TA01,"(43.8,32.3,216.1),(72.4,50.6,242.7)",[]
1144,Antibiotic_Supply,Expired,EA03,"(70.6,28.1,50.7),(109.7,42.0,76.3)",[]
1240,Food_Packet,Expired,CQ01,"(20.1,0,953.8),(39.6,19.7,978.6)",[]
1245,Food_Packet,Expired,TA01,"(15.8,0,283.7),(45.0,25.0,310.8)",[]
1246,Antibiotic_Supply,Expired,EA01,"(14.7,28.5,25.5),(45.2,43.1,47.1)",[]
1276,Antibiotic_Supply,Expired,L04,"(137.0,22.2,21.3),(170.9,42.5,37.5)",[]
1298,Antibiotic_Supply,Expired,EA01,"(66.1,28.5,25.5),(108.0,67.8,67.6)",[]
1342,Food_Packet,Expired,TA01,"(16.6,0,308.4),(39.2,22.2,325.2)",[]
1394,Food_Packet,Expired,TA01,"(43.9,71.9,308.4),(72.8,89.7,336.2)",[]
1396,Food_Packet,Expired,TA01,"(40.0,89.7,308.4),(56.2,116.1,321.3)",[]
1422,Antibiotic_Supply,Expired,EA03,"(32.7,61.9,50.7),(66.8,87.9,94.3)",[]
1458,Antibiotic_Supply,Expired,EA01,"(0,0,67.6),(49.6,36.4,84.2)",[]
1503,Antibiotic_Supply,Expired,EA02,"(78.1,0,272.8),(100.9,41.5,300.5)",[]
1538,Food_Packet,Expired,CQ01,"(0,0,1666.9),(12.4,29.3,1696.3)",[]
1545,Food_Packet,Expired,CQ01,"(0,0,1747.0),(23.2,22.5,1773.0)",[]
